Region index,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min]
0,Bangkok,2025-01-01T00:00,37.1,48.1,29.5,16.1
0,Bangkok,2025-01-01T01:00,39.1,48.9,25.1,15.3
0,Bangkok,2025-01-01T02:00,46.8,49.3,5.3,12.8
0,Bangkok,2025-01-01T03:00,49.6,48.8,0,12
0,Bangkok,2025-01-01T04:00,51,49.4,0,11.7
0,Bangkok,2025-01-01T05:00,53.2,51.9,0,11.2
0,Bangkok,2025-01-01T06:00,54.4,53.6,0,11
0,Bangkok,2025-01-01T07:00,54,55.9,3.6,11.1
0,Bangkok,2025-01-01T08:00,52.6,56.3,7.1,11.4
0,Bangkok,2025-01-01T09:00,51.3,56.7,10.4,11.6
0,Bangkok,2025-01-01T10:00,49.5,57,15.3,12.1
0,Bangkok,2025-01-01T11:00,46.9,56.8,20.9,12.7
0,Bangkok,2025-01-01T12:00,46.1,56.6,22.8,13
0,Bangkok,2025-01-01T13:00,45.5,56.5,24.3,13.1
0,Bangkok,2025-01-01T14:00,44.4,56.4,27,13.4
0,Bangkok,2025-01-01T15:00,44,56.5,28.4,13.6
0,Bangkok,2025-01-01T16:00,44.2,56.6,28.1,13.5
0,Bangkok,2025-01-01T17:00,44.3,56.4,27.2,13.5
0,Bangkok,2025-01-01T18:00,42.8,55.7,30.1,14
0,Bangkok,2025-01-01T19:00,43.9,55.7,27,13.6
0,Bangkok,2025-01-01T20:00,46.1,55.7,20.8,13
0,Bangkok,2025-01-01T21:00,48.3,55.3,14.5,12.4
0,Bangkok,2025-01-01T22:00,49.8,54.9,10.1,12
0,Bangkok,2025-01-01T23:00,52.5,55.2,5.1,11.4
0,Bangkok,2025-01-02T00:00,53.8,55.1,2.4,11.1
0,Bangkok,2025-01-02T01:00,54.5,54.5,0,11
0,Bangkok,2025-01-02T02:00,55.3,54.3,0,10.8
0,Bangkok,2025-01-02T03:00,55.6,54.3,0,10.7
0,Bangkok,2025-01-02T04:00,57.8,57.3,0,10.3
0,Bangkok,2025-01-02T05:00,55.6,58.5,5.2,10.7
0,Bangkok,2025-01-02T06:00,49.2,56.7,15.3,12.1
0,Bangkok,2025-01-02T07:00,45.6,54.5,19.4,13.1
0,Bangkok,2025-01-02T08:00,46.5,53.7,15.4,12.8
0,Bangkok,2025-01-02T09:00,47.9,54.7,14.3,12.5
0,Bangkok,2025-01-02T10:00,47.2,55.3,16.9,12.6
0,Bangkok,2025-01-02T11:00,45.9,55,19.7,13
0,Bangkok,2025-01-02T12:00,44.8,54.5,21.7,13.3
0,Bangkok,2025-01-02T13:00,44.9,54.8,21.9,13.3
0,Bangkok,2025-01-02T14:00,44.9,55.1,22.5,13.3
0,Bangkok,2025-01-02T15:00,44.3,55.1,24.2,13.5
0,Bangkok,2025-01-02T16:00,42.1,54.7,30,14.2
0,Bangkok,2025-01-02T17:00,38.7,54.2,40.1,15.4
0,Bangkok,2025-01-02T18:00,37.6,53.3,41.5,15.9
0,Bangkok,2025-01-02T19:00,41.4,53.1,28.2,14.4
0,Bangkok,2025-01-02T20:00,44.5,53.3,19.7,13.4
0,Bangkok,2025-01-02T21:00,46.5,53.1,14.2,12.8
0,Bangkok,2025-01-02T22:00,47.9,52.9,10.3,12.5
0,Bangkok,2025-01-02T23:00,50.1,52.9,5.5,11.9
