Region index,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min]
0,Cook County,2025-01-01T00:00,45.7,55.8,22,13.1
0,Cook County,2025-01-01T01:00,47.5,57.2,20.3,12.6
0,Cook County,2025-01-01T02:00,50,56.7,13.2,11.9
0,Cook County,2025-01-01T03:00,54,57.9,7.2,11
0,Cook County,2025-01-01T04:00,56.6,59.2,4.6,10.5
0,Cook County,2025-01-01T05:00,61.9,63.3,2.1,9.6
0,Cook County,2025-01-01T06:00,63.7,65.3,2.5,9.4
0,Cook County,2025-01-01T07:00,62.5,64.5,3.3,9.5
0,Cook County,2025-01-01T08:00,62.2,64.9,4.2,9.6
0,Cook County,2025-01-01T09:00,60.6,64.4,6.2,9.8
0,Cook County,2025-01-01T10:00,61.2,65.3,6.5,9.7
0,Cook County,2025-01-01T11:00,60.1,65.3,8.7,9.9
0,Cook County,2025-01-01T12:00,57.6,64.1,11.4,10.4
0,Cook County,2025-01-01T13:00,55.7,63.2,13.5,10.7
0,Cook County,2025-01-01T14:00,55.3,63.1,14,10.8
0,Cook County,2025-01-01T15:00,54.2,62.5,15.3,11
0,Cook County,2025-01-01T16:00,53.2,61.9,16.2,11.2
0,Cook County,2025-01-01T17:00,52.4,61.3,17.1,11.4
0,Cook County,2025-01-01T18:00,52.5,60.7,15.6,11.4
0,Cook County,2025-01-01T19:00,53.1,60.2,13.4,11.2
0,Cook County,2025-01-01T20:00,54.2,60.4,11.4,11
0,Cook County,2025-01-01T21:00,54.5,60.1,10.2,11
0,Cook County,2025-01-01T22:00,55.9,60.2,7.7,10.7
0,Cook County,2025-01-01T23:00,57.3,60.5,5.6,10.4
0,Cook County,2025-01-02T00:00,58.4,61.1,4.6,10.2
0,Cook County,2025-01-02T01:00,58.9,61.5,4.3,10.1
0,Cook County,2025-01-02T02:00,60.9,62.9,3.3,9.8
0,Cook County,2025-01-02T03:00,66.1,67.1,1.4,9
0,Cook County,2025-01-02T04:00,69.4,70,0.9,8.6
0,Cook County,2025-01-02T05:00,69.7,71.8,2.9,8.6
0,Cook County,2025-01-02T06:00,64,69.1,7.9,9.3
0,Cook County,2025-01-02T07:00,59,66,11.9,10.1
0,Cook County,2025-01-02T08:00,55.5,63.4,14.2,10.7
0,Cook County,2025-01-02T09:00,54,63.1,16.8,11.1
0,Cook County,2025-01-02T10:00,53,63,18.8,11.3
0,Cook County,2025-01-02T11:00,51.4,62.1,20.8,11.6
0,Cook County,2025-01-02T12:00,49.5,61,23.3,12.1
0,Cook County,2025-01-02T13:00,49.3,61.1,24.1,12.1
0,Cook County,2025-01-02T14:00,47.2,61,29,12.6
0,Cook County,2025-01-02T15:00,46,60.4,31.2,13
0,Cook County,2025-01-02T16:00,44.1,59.7,35.3,13.5
0,Cook County,2025-01-02T17:00,43,59,37.1,13.9
0,Cook County,2025-01-02T18:00,45.6,58.6,28.5,13.1
0,Cook County,2025-01-02T19:00,47.6,58.4,22.6,12.5
0,Cook County,2025-01-02T20:00,49.6,58.6,18.1,12
0,Cook County,2025-01-02T21:00,52.4,59.4,13.4,11.4
0,Cook County,2025-01-02T22:00,54.4,60,10.3,11
0,Cook County,2025-01-02T23:00,55.5,59.8,7.7,10.8
0,Cook County,2025-01-03T00:00,57,60.7,6.3,10.5
0,Cook County,2025-01-03T01:00,58.2,61.5,5.5,10.2
0,Cook County,2025-01-03T02:00,60.8,63.6,4.5,9.8
0,Cook County,2025-01-03T03:00,65.7,67.7,2.8,9.1
0,Cook County,2025-01-03T04:00,67,69.7,4,8.9
0,Cook County,2025-01-03T05:00,66.2,71.1,7.3,9
0,Cook County,2025-01-03T06:00,61.4,68.3,11.3,9.7
0,Cook County,2025-01-03T07:00,57.4,65.3,13.7,10.4
0,Cook County,2025-01-03T08:00,54,63,16.6,11.1
0,Cook County,2025-01-03T09:00,52.7,62.4,18.3,11.3
0,Cook County,2025-01-03T10:00,51.5,62.2,20.8,11.6
0,Cook County,2025-01-03T11:00,49.9,61.5,23.1,12
0,Cook County,2025-01-03T12:00,47.9,60.5,26.3,12.5
0,Cook County,2025-01-03T13:00,46.9,60.2,28.3,12.7
0,Cook County,2025-01-03T14:00,44.3,60,35.3,13.5
0,Cook County,2025-01-03T15:00,43.6,59.8,37.1,13.7
0,Cook County,2025-01-03T16:00,42.4,59.3,39.8,14.1
0,Cook County,2025-01-03T17:00,41.6,58.9,41.4,14.3
0,Cook County,2025-01-03T18:00,44,58.4,32.5,13.6
0,Cook County,2025-01-03T19:00,47.3,57.9,22.4,12.6
0,Cook County,2025-01-03T20:00,49.8,58.5,17.3,12
0,Cook County,2025-01-03T21:00,51.2,58.8,14.6,11.7
0,Cook County,2025-01-03T22:00,53.1,59.6,12.2,11.2
0,Cook County,2025-01-03T23:00,54.4,59.4,9.2,11
0,Cook County,2025-01-04T00:00,55.1,59,7,10.8
0,Cook County,2025-01-04T01:00,55.3,58.3,5.3,10.8
0,Cook County,2025-01-04T02:00,56.7,59.2,4.4,10.5
