Region index,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min]
0,County Dublin,2025-01-01T00:00,31.7,40.8,28.8,18.9
0,County Dublin,2025-01-01T01:00,37,43.7,17.9,16.1
0,County Dublin,2025-01-01T02:00,37.9,43.1,13.7,15.7
0,County Dublin,2025-01-01T03:00,38.1,42.4,11.2,15.7
0,County Dublin,2025-01-01T04:00,37.8,41.2,8.9,15.8
0,County Dublin,2025-01-01T05:00,40.5,43.9,8.4,14.8
0,County Dublin,2025-01-01T06:00,44.6,47.4,6.2,13.4
0,County Dublin,2025-01-01T07:00,45.3,48.9,8,13.2
0,County Dublin,2025-01-01T08:00,47.1,51.4,9.2,12.7
0,County Dublin,2025-01-01T09:00,47.5,52.2,9.8,12.6
0,County Dublin,2025-01-01T10:00,47.6,53.5,12.2,12.5
0,County Dublin,2025-01-01T11:00,47.6,54.8,15.2,12.6
0,County Dublin,2025-01-01T12:00,46.4,55.7,19.9,12.9
0,County Dublin,2025-01-01T13:00,44.7,55.7,24.6,13.4
0,County Dublin,2025-01-01T14:00,42.6,54.8,28.8,14
0,County Dublin,2025-01-01T15:00,41.7,53.9,29.3,14.3
0,County Dublin,2025-01-01T16:00,41.6,53.8,29.1,14.3
0,County Dublin,2025-01-01T17:00,41,52.7,28.5,14.6
0,County Dublin,2025-01-01T18:00,40.8,51.3,25.7,14.6
0,County Dublin,2025-01-01T19:00,40.6,50,23,14.7
0,County Dublin,2025-01-01T20:00,40.6,48.9,20.4,14.7
0,County Dublin,2025-01-01T21:00,40.8,47.6,16.6,14.6
0,County Dublin,2025-01-01T22:00,40.7,46.2,13.4,14.7
0,County Dublin,2025-01-01T23:00,40.7,44.9,10.3,14.7
0,County Dublin,2025-01-02T00:00,40.3,43.2,6.9,14.8
0,County Dublin,2025-01-02T01:00,41.4,43.1,4,14.4
0,County Dublin,2025-01-02T02:00,42.7,43.8,2.5,14
0,County Dublin,2025-01-02T03:00,48.2,48.8,1.3,12.4
0,County Dublin,2025-01-02T04:00,53,53.9,1.7,11.3
0,County Dublin,2025-01-02T05:00,52.3,54.6,4.3,11.4
0,County Dublin,2025-01-02T06:00,51.4,57.6,11.9,11.6
0,County Dublin,2025-01-02T07:00,47.2,57.6,21.9,12.7
0,County Dublin,2025-01-02T08:00,45,56.7,25.7,13.3
0,County Dublin,2025-01-02T09:00,44.2,55.2,24.9,13.5
0,County Dublin,2025-01-02T10:00,43.4,55.3,27.3,13.8
0,County Dublin,2025-01-02T11:00,41.4,55,32.6,14.4
0,County Dublin,2025-01-02T12:00,39.9,54.9,37.5,15
0,County Dublin,2025-01-02T13:00,38.8,54.8,41,15.4
0,County Dublin,2025-01-02T14:00,38.4,54.6,41.9,15.5
0,County Dublin,2025-01-02T15:00,38.5,54.9,42.6,15.5
0,County Dublin,2025-01-02T16:00,37,54.7,47.8,16.2
0,County Dublin,2025-01-02T17:00,36.1,53.6,48.2,16.5
0,County Dublin,2025-01-02T18:00,38,51.7,35.9,15.7
0,County Dublin,2025-01-02T19:00,38.3,49.7,29.5,15.6
0,County Dublin,2025-01-02T20:00,39.2,48.9,24.6,15.2
0,County Dublin,2025-01-02T21:00,39.9,48.1,20.2,15
0,County Dublin,2025-01-02T22:00,38.9,46,17.9,15.3
0,County Dublin,2025-01-02T23:00,38.9,44.3,13.6,15.3
0,County Dublin,2025-01-03T00:00,40.1,43.9,9.6,14.9
0,County Dublin,2025-01-03T01:00,40.4,42.9,6.2,14.8
0,County Dublin,2025-01-03T02:00,41.7,44,5.3,14.3
0,County Dublin,2025-01-03T03:00,45.6,47.8,4.8,13.1
0,County Dublin,2025-01-03T04:00,50.3,54,7.3,11.9
0,County Dublin,2025-01-03T05:00,51.8,56.4,9,11.5
0,County Dublin,2025-01-03T06:00,50.1,57.4,14.6,11.9
0,County Dublin,2025-01-03T07:00,45.8,57,24.4,13
0,County Dublin,2025-01-03T08:00,43.3,55.8,28.7,13.8
0,County Dublin,2025-01-03T09:00,42.4,54.9,29.6,14.1
0,County Dublin,2025-01-03T10:00,41.3,54.5,31.8,14.5
0,County Dublin,2025-01-03T11:00,40.1,54.6,36.3,14.9
0,County Dublin,2025-01-03T12:00,38.2,54.5,42.5,15.6
0,County Dublin,2025-01-03T13:00,37.1,54.6,46.8,16.1
0,County Dublin,2025-01-03T14:00,36.7,54.3,48,16.3
0,County Dublin,2025-01-03T15:00,36.3,54.3,49.5,16.5
0,County Dublin,2025-01-03T16:00,35.5,54.1,52.1,16.8
0,County Dublin,2025-01-03T17:00,34.9,52.4,49.9,17.1
0,County Dublin,2025-01-03T18:00,36.1,50.7,40.3,16.5
0,County Dublin,2025-01-03T19:00,36.3,48.9,34.3,16.4
