Region index,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min]
0,Los Angeles County,2025-01-01T00:00,64.8,73.1,12.8,9.2
0,Los Angeles County,2025-01-01T01:00,67.8,75.8,11.7,8.8
0,Los Angeles County,2025-01-01T02:00,69.4,74.6,7.4,8.6
0,Los Angeles County,2025-01-01T03:00,71.3,75.3,5.5,8.4
0,Los Angeles County,2025-01-01T04:00,74,77.5,4.7,8.1
0,Los Angeles County,2025-01-01T05:00,77,81.6,5.9,7.7
0,Los Angeles County,2025-01-01T06:00,76.8,82,6.6,7.8
0,Los Angeles County,2025-01-01T07:00,77.2,81.4,5.5,7.7
0,Los Angeles County,2025-01-01T08:00,76.3,80.9,5.9,7.8
0,Los Angeles County,2025-01-01T09:00,75.1,80.8,7.6,7.9
0,Los Angeles County,2025-01-01T10:00,72.1,80.6,11.7,8.3
0,Los Angeles County,2025-01-01T11:00,67.6,79.5,17.6,8.8
0,Los Angeles County,2025-01-01T12:00,66.2,78.5,18.4,9
0,Los Angeles County,2025-01-01T13:00,66.3,77.9,17.4,9
0,Los Angeles County,2025-01-01T14:00,65.6,77.2,17.6,9.1
0,Los Angeles County,2025-01-01T15:00,65.2,76.6,17.3,9.1
0,Los Angeles County,2025-01-01T16:00,64.7,76.1,17.6,9.2
0,Los Angeles County,2025-01-01T17:00,62.4,76,21.7,9.6
0,Los Angeles County,2025-01-01T18:00,62,76.4,23.1,9.6
0,Los Angeles County,2025-01-01T19:00,64.1,76.4,19.2,9.3
0,Los Angeles County,2025-01-01T20:00,67.7,76.7,13.3,8.8
0,Los Angeles County,2025-01-01T21:00,70.1,77,9.7,8.5
0,Los Angeles County,2025-01-01T22:00,72.2,77.1,6.7,8.3
0,Los Angeles County,2025-01-01T23:00,74,77.4,4.4,8
0,Los Angeles County,2025-01-02T00:00,74.6,77.5,3.9,8
0,Los Angeles County,2025-01-02T01:00,75.6,78,3.1,7.9
0,Los Angeles County,2025-01-02T02:00,78.3,80.7,3,7.6
0,Los Angeles County,2025-01-02T03:00,85.1,85.8,0.8,7
0,Los Angeles County,2025-01-02T04:00,88.8,89.3,0.5,6.7
0,Los Angeles County,2025-01-02T05:00,84.2,88.5,5,7.1
0,Los Angeles County,2025-01-02T06:00,74.3,83.9,12.9,8
0,Los Angeles County,2025-01-02T07:00,66.9,79.3,18.5,8.9
0,Los Angeles County,2025-01-02T08:00,64,77.1,20.4,9.3
0,Los Angeles County,2025-01-02T09:00,63,76.9,22,9.5
0,Los Angeles County,2025-01-02T10:00,61.6,76.7,24.4,9.7
0,Los Angeles County,2025-01-02T11:00,57.4,75.2,30.9,10.4
0,Los Angeles County,2025-01-02T12:00,54.5,73.8,35.3,11
0,Los Angeles County,2025-01-02T13:00,53.4,73.4,37.2,11.2
0,Los Angeles County,2025-01-02T14:00,51.5,72.8,41.2,11.6
0,Los Angeles County,2025-01-02T15:00,48.5,71.7,47.7,12.3
0,Los Angeles County,2025-01-02T16:00,47.2,70.6,49.4,12.6
0,Los Angeles County,2025-01-02T17:00,45.6,70,53.4,13.1
0,Los Angeles County,2025-01-02T18:00,52.4,71.7,36.9,11.4
