Region index,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min]
0,Mexico City,2025-01-01T00:00,35.2,37,4.9,17
0,Mexico City,2025-01-01T01:00,35.1,38,8.3,17
0,Mexico City,2025-01-01T02:00,35.4,38.5,8.7,16.9
0,Mexico City,2025-01-01T03:00,37.1,38.6,4.1,16.1
0,Mexico City,2025-01-01T04:00,38.7,38.5,0,15.4
0,Mexico City,2025-01-01T05:00,39.9,39.2,0,15
0,Mexico City,2025-01-01T06:00,41.1,40.4,0,14.5
0,Mexico City,2025-01-01T07:00,42.7,41.1,0,14
0,Mexico City,2025-01-01T08:00,42.2,41.3,0,14.2
0,Mexico City,2025-01-01T09:00,42.2,42,0,14.1
0,Mexico City,2025-01-01T10:00,41.7,41.9,0.3,14.3
0,Mexico City,2025-01-01T11:00,40.7,41.8,2.7,14.7
0,Mexico City,2025-01-01T12:00,39.4,41.7,5.7,15.2
0,Mexico City,2025-01-01T13:00,38.3,41.7,8.7,15.6
0,Mexico City,2025-01-01T14:00,37.1,41.3,11.5,16.1
0,Mexico City,2025-01-01T15:00,36.2,40.9,12.9,16.5
0,Mexico City,2025-01-01T16:00,35.3,40.4,14.4,16.9
0,Mexico City,2025-01-01T17:00,35.1,40.5,15.2,17
0,Mexico City,2025-01-01T18:00,32.9,40.2,22,18.1
0,Mexico City,2025-01-01T19:00,32.3,40,24,18.5
0,Mexico City,2025-01-01T20:00,33.1,40,20.8,18
0,Mexico City,2025-01-01T21:00,34.3,39.8,16.2,17.4
0,Mexico City,2025-01-01T22:00,35.7,39.5,10.7,16.7
0,Mexico City,2025-01-01T23:00,38,39.7,4.5,15.7
0,Mexico City,2025-01-02T00:00,40,39.5,0,14.9
0,Mexico City,2025-01-02T01:00,40.9,39.3,0,14.6
0,Mexico City,2025-01-02T02:00,41.6,39.6,0,14.3
0,Mexico City,2025-01-02T03:00,44.7,41.8,0,13.4
0,Mexico City,2025-01-02T04:00,46.4,43.4,0,12.9
0,Mexico City,2025-01-02T05:00,42.9,43.1,0.6,13.9
0,Mexico City,2025-01-02T06:00,39.1,42.5,8.7,15.3
0,Mexico City,2025-01-02T07:00,36.9,41.7,13,16.2
0,Mexico City,2025-01-02T08:00,33.9,40.8,20.2,17.6
0,Mexico City,2025-01-02T09:00,33.5,40.6,21,17.8
0,Mexico City,2025-01-02T10:00,33.5,40.6,21.2,17.8
0,Mexico City,2025-01-02T11:00,32.5,40.7,25.1,18.4
0,Mexico City,2025-01-02T12:00,31.2,40.7,30.5,19.2
0,Mexico City,2025-01-02T13:00,29.3,40.3,37.6,20.4
0,Mexico City,2025-01-02T14:00,28.5,39.9,40.1,21
0,Mexico City,2025-01-02T15:00,28,39.2,40,21.3
0,Mexico City,2025-01-02T16:00,28.6,39.2,37.1,20.9
0,Mexico City,2025-01-02T17:00,28,39.2,39.9,21.4
0,Mexico City,2025-01-02T18:00,24.9,38.4,53.8,24
0,Mexico City,2025-01-02T19:00,25.4,38.2,50.2,23.5
0,Mexico City,2025-01-02T20:00,29.2,38.6,32.4,20.5
0,Mexico City,2025-01-02T21:00,31.8,39,22.9,18.8
0,Mexico City,2025-01-02T22:00,34.2,39.1,14.3,17.5
0,Mexico City,2025-01-02T23:00,35.9,39,8.5,16.6
0,Mexico City,2025-01-03T00:00,38.4,39.2,2,15.6
0,Mexico City,2025-01-03T01:00,39.2,38.5,0,15.2
0,Mexico City,2025-01-03T02:00,41,39.3,0,14.6
0,Mexico City,2025-01-03T03:00,43,40.7,0,13.9
0,Mexico City,2025-01-03T04:00,44.1,41.9,0,13.5
