Region index,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min]
0,Bronx County,2025-01-01T00:00,35.3,40.3,13.9,16.9
0,Bronx County,2025-01-01T01:00,36.2,42.2,16.6,16.5
0,Bronx County,2025-01-01T02:00,37.3,42.1,12.7,16
0,Bronx County,2025-01-01T03:00,37.7,41.6,10.1,15.8
0,Bronx County,2025-01-01T04:00,38.2,41.5,8.4,15.6
0,Bronx County,2025-01-01T05:00,38.9,41.4,6.5,15.4
0,Bronx County,2025-01-01T06:00,41,43.1,5,14.6
0,Bronx County,2025-01-01T07:00,41,42.7,4,14.6
0,Bronx County,2025-01-01T08:00,42.8,44.5,3.9,13.9
0,Bronx County,2025-01-01T09:00,46.1,47.6,3.2,13
0,Bronx County,2025-01-01T10:00,48.7,50.2,3,12.3
0,Bronx County,2025-01-01T11:00,49.1,51.4,4.6,12.2
0,Bronx County,2025-01-01T12:00,48.4,51.2,5.7,12.3
0,Bronx County,2025-01-01T13:00,45.5,49.6,9,13.1
0,Bronx County,2025-01-01T14:00,41.6,48.4,16.2,14.4
0,Bronx County,2025-01-01T15:00,39.8,47.4,19.1,15
0,Bronx County,2025-01-01T16:00,40.2,46.7,16,14.9
0,Bronx County,2025-01-01T17:00,38.8,46.1,18.6,15.4
0,Bronx County,2025-01-01T18:00,38.6,45.1,16.7,15.5
0,Bronx County,2025-01-01T19:00,38.8,44.6,15.1,15.4
0,Bronx County,2025-01-01T20:00,39.4,44.3,12.4,15.2
0,Bronx County,2025-01-01T21:00,39.8,43.9,10,15
0,Bronx County,2025-01-01T22:00,40,43.3,8,14.9
0,Bronx County,2025-01-01T23:00,38.8,41.6,7.3,15.4
0,Bronx County,2025-01-02T00:00,38.3,40.6,5.9,15.6
0,Bronx County,2025-01-02T01:00,38.3,40.2,5,15.6
0,Bronx County,2025-01-02T02:00,39,40.6,3.9,15.3
0,Bronx County,2025-01-02T03:00,42,42.9,1.9,14.2
0,Bronx County,2025-01-02T04:00,47.8,48.1,0.6,12.5
0,Bronx County,2025-01-02T05:00,49.7,51.6,3.8,12
0,Bronx County,2025-01-02T06:00,40.5,47.8,18.1,14.8
0,Bronx County,2025-01-02T07:00,32.5,42.3,29.9,18.4
0,Bronx County,2025-01-02T08:00,31.4,41.2,30.9,19
0,Bronx County,2025-01-02T09:00,34.4,42.2,22.8,17.4
0,Bronx County,2025-01-02T10:00,35,43.3,23.5,17.1
0,Bronx County,2025-01-02T11:00,34.1,43.2,26.6,17.5
0,Bronx County,2025-01-02T12:00,33.9,43.2,27.3,17.6
0,Bronx County,2025-01-02T13:00,33.3,43.2,29.3,17.9
0,Bronx County,2025-01-02T14:00,30.3,42,38.8,19.8
0,Bronx County,2025-01-02T15:00,27.7,41.4,49,21.5
0,Bronx County,2025-01-02T16:00,27.3,40.9,49.4,21.9
0,Bronx County,2025-01-02T17:00,28.1,41,45.7,21.3
0,Bronx County,2025-01-02T18:00,32.2,41.8,29.7,18.6
0,Bronx County,2025-01-02T19:00,34.7,41.8,20.5,17.2
0,Bronx County,2025-01-02T20:00,36.5,42.5,16.2,16.4
0,Bronx County,2025-01-02T21:00,37.9,42.9,13.2,15.8
0,Bronx County,2025-01-02T22:00,39.7,43.3,9.1,15.1
0,Bronx County,2025-01-02T23:00,40.1,43.1,7.4,14.9
0,Bronx County,2025-01-03T00:00,39.2,42,6.9,15.2
0,Bronx County,2025-01-03T01:00,38.2,40.5,6,15.6
0,Bronx County,2025-01-03T02:00,38,39.9,5,15.7
0,Bronx County,2025-01-03T03:00,42.1,43.2,2.5,14.2
0,Bronx County,2025-01-03T04:00,46.9,47.6,1.6,12.7
0,Bronx County,2025-01-03T05:00,48.5,50.8,4.7,12.3
0,Bronx County,2025-01-03T06:00,40.5,47.4,16.9,14.7
0,Bronx County,2025-01-03T07:00,32.2,41.8,29.5,18.5
0,Bronx County,2025-01-03T08:00,31.8,40.7,28.1,18.8
0,Bronx County,2025-01-03T09:00,33.6,41.8,24.3,17.8
0,Bronx County,2025-01-03T10:00,33.7,42.3,25.4,17.7
0,Bronx County,2025-01-03T11:00,33,42.5,28.8,18.1
0,Bronx County,2025-01-03T12:00,32,42.6,32.9,18.6
0,Bronx County,2025-01-03T13:00,30.6,42.4,38.4,19.5
