Region index,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min]
0,Paris,2025-01-01T00:00,18.7,28.7,53.2,32
0,Paris,2025-01-01T01:00,17,28.4,67.2,35.2
0,Paris,2025-01-01T02:00,18.7,28,49.8,32
0,Paris,2025-01-01T03:00,22.1,28.1,27.2,27
0,Paris,2025-01-01T04:00,24.2,28.1,16.1,24.7
0,Paris,2025-01-01T05:00,25.7,28.3,10.2,23.3
0,Paris,2025-01-01T06:00,27.1,28.7,6,22.1
0,Paris,2025-01-01T07:00,28.9,29.4,1.8,20.7
0,Paris,2025-01-01T08:00,29.6,29.7,0.2,20.2
0,Paris,2025-01-01T09:00,29.1,29.4,1,20.6
0,Paris,2025-01-01T10:00,28.4,29.3,3.2,21
0,Paris,2025-01-01T11:00,26.5,29.1,9.6,22.5
0,Paris,2025-01-01T12:00,25.1,28.8,14.5,23.8
0,Paris,2025-01-01T13:00,24.4,28.4,16.2,24.5
0,Paris,2025-01-01T14:00,24,28.9,20.1,24.9
0,Paris,2025-01-01T15:00,23,29,26.2,26
0,Paris,2025-01-01T16:00,22.1,29.1,31.7,27.1
0,Paris,2025-01-01T17:00,21.3,28.9,35.9,28.1
0,Paris,2025-01-01T18:00,20.9,28.6,36.8,28.6
0,Paris,2025-01-01T19:00,21.9,27.9,27.4,27.3
0,Paris,2025-01-01T20:00,23,27.7,20.1,26
0,Paris,2025-01-01T21:00,24.2,27.7,14.6,24.7
0,Paris,2025-01-01T22:00,25,27.7,10.8,23.9
0,Paris,2025-01-01T23:00,25.9,27.7,6.8,23
0,Paris,2025-01-02T00:00,26.8,27.4,2.1,22.3
0,Paris,2025-01-02T01:00,27.5,27.2,0,21.7
0,Paris,2025-01-02T02:00,28.2,27.4,0,21.2
0,Paris,2025-01-02T03:00,29.3,28.2,0,20.4
0,Paris,2025-01-02T04:00,32.1,30.3,0,18.6
0,Paris,2025-01-02T05:00,31.6,30.7,0,18.9
0,Paris,2025-01-02T06:00,30.2,31.5,4.4,19.8
0,Paris,2025-01-02T07:00,28,32,14.2,21.3
0,Paris,2025-01-02T08:00,26.1,31.7,21.2,22.9
0,Paris,2025-01-02T09:00,23.8,30.1,26.5,25.1
0,Paris,2025-01-02T10:00,22.2,29.2,31.2,26.9
0,Paris,2025-01-02T11:00,20.9,28.8,37.5,28.6
0,Paris,2025-01-02T12:00,20.4,28.5,39.3,29.2
0,Paris,2025-01-02T13:00,20.1,28.2,40.1,29.7
0,Paris,2025-01-02T14:00,20,28.4,42,29.9
0,Paris,2025-01-02T15:00,19.7,28.8,46.2,30.4
0,Paris,2025-01-02T16:00,18.7,28.7,53.5,32
0,Paris,2025-01-02T17:00,18.3,28.5,56.1,32.7
0,Paris,2025-01-02T18:00,18.7,28.5,52.1,31.9
0,Paris,2025-01-02T19:00,19.7,28,41.5,30.3
0,Paris,2025-01-02T20:00,21.8,27.6,26.2,27.4
0,Paris,2025-01-02T21:00,22.5,27,20,26.6
0,Paris,2025-01-02T22:00,22.9,27,18,26.1
0,Paris,2025-01-02T23:00,23.9,27.2,13.3,25
0,Paris,2025-01-03T00:00,25.4,26.9,6,23.6
0,Paris,2025-01-03T01:00,26.3,26.5,1,22.8
0,Paris,2025-01-03T02:00,27.1,26.3,0,22.1
0,Paris,2025-01-03T03:00,27.7,26.5,0,21.6
0,Paris,2025-01-03T04:00,30.4,28.7,0,19.7
0,Paris,2025-01-03T05:00,30.6,29.5,0,19.5
0,Paris,2025-01-03T06:00,30,31,3.3,19.9
0,Paris,2025-01-03T07:00,27.9,31.6,12.9,21.4
0,Paris,2025-01-03T08:00,26.3,31.2,18.6,22.7
0,Paris,2025-01-03T09:00,23.7,30.3,27.6,25.2
0,Paris,2025-01-03T10:00,22,29.4,33.5,27.2
0,Paris,2025-01-03T11:00,20.7,28.9,39.3,28.9
0,Paris,2025-01-03T12:00,20.3,28.8,41.4,29.4
0,Paris,2025-01-03T13:00,21.1,28.7,35.9,28.4
0,Paris,2025-01-03T14:00,20.4,28.6,40.1,29.3
0,Paris,2025-01-03T15:00,19.4,28.6,47.5,30.8
0,Paris,2025-01-03T16:00,18.1,28.5,57.1,33
0,Paris,2025-01-03T17:00,17.6,28.3,60.5,33.9
0,Paris,2025-01-03T18:00,17.6,28.3,60.6,34
0,Paris,2025-01-03T19:00,19,28.1,47.6,31.5
0,Paris,2025-01-03T20:00,20.9,27.8,33.2,28.7
0,Paris,2025-01-03T21:00,21.8,27.4,25.2,27.4
0,Paris,2025-01-03T22:00,22.1,27.3,23.3,27
0,Paris,2025-01-03T23:00,22.7,27.6,21.5,26.4
0,Paris,2025-01-04T00:00,24.2,27.3,12.6,24.6
0,Paris,2025-01-04T01:00,25.2,27,7.3,23.8
0,Paris,2025-01-04T02:00,25.8,26.4,2.3,23.2
0,Paris,2025-01-04T03:00,26.6,26.4,0,22.4
0,Paris,2025-01-04T04:00,28.2,27.3,0,21.2
0,Paris,2025-01-04T05:00,29.6,28.6,0,20.2
0,Paris,2025-01-04T06:00,29.4,29.4,0,20.3
0,Paris,2025-01-04T07:00,29,30.2,3.9,20.6
0,Paris,2025-01-04T08:00,28,30,7.3,21.4
0,Paris,2025-01-04T09:00,26.2,29.6,13,22.8
0,Paris,2025-01-04T10:00,24.5,29.4,19.8,24.4
0,Paris,2025-01-04T11:00,23.2,29.3,26.2,25.8
0,Paris,2025-01-04T12:00,22,28.9,31,27.2
0,Paris,2025-01-04T13:00,21.8,28.5,30.8,27.4
0,Paris,2025-01-04T14:00,21.4,28.6,34,28
0,Paris,2025-01-04T15:00,19.8,28.6,44.2,30.1
0,Paris,2025-01-04T16:00,19.4,28.7,48.2,30.9
0,Paris,2025-01-04T17:00,19.2,28.7,49.7,31.2
0,Paris,2025-01-04T18:00,18.5,28.5,53.8,32.3
0,Paris,2025-01-04T19:00,18.4,28,51.9,32.4
0,Paris,2025-01-04T20:00,20.2,27.9,37.6,29.5
0,Paris,2025-01-04T21:00,21.9,27.7,26.5,27.3
0,Paris,2025-01-04T22:00,22.2,27.5,23.7,26.9
