Region index,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min]
0,Council of the City of Sydney,2025-01-01T00:00,18.3,29.6,61.6,32.6
0,Council of the City of Sydney,2025-01-01T01:00,19.8,32,61,30.1
0,Council of the City of Sydney,2025-01-01T02:00,21.5,31.3,45.3,27.8
0,Council of the City of Sydney,2025-01-01T03:00,23.1,29.5,27.7,25.9
0,Council of the City of Sydney,2025-01-01T04:00,26.3,28.9,9.9,22.8
0,Council of the City of Sydney,2025-01-01T05:00,30,30.7,2.2,19.9
0,Council of the City of Sydney,2025-01-01T06:00,31.7,32.3,1.7,18.8
0,Council of the City of Sydney,2025-01-01T07:00,32.5,33.9,4.3,18.4
0,Council of the City of Sydney,2025-01-01T08:00,32.8,34.7,5.9,18.2
0,Council of the City of Sydney,2025-01-01T09:00,32.2,34.8,8,18.6
0,Council of the City of Sydney,2025-01-01T10:00,30.5,34.2,11.8,19.6
0,Council of the City of Sydney,2025-01-01T11:00,29.8,35.7,19.7,20.1
0,Council of the City of Sydney,2025-01-01T12:00,28.7,35.1,22.4,20.8
0,Council of the City of Sydney,2025-01-01T13:00,28.3,34.9,23.2,21.1
0,Council of the City of Sydney,2025-01-01T14:00,27.3,34.3,25.3,21.9
0,Council of the City of Sydney,2025-01-01T15:00,26.2,33.9,29.3,22.8
0,Council of the City of Sydney,2025-01-01T16:00,26.9,34.1,26.7,22.2
0,Council of the City of Sydney,2025-01-01T17:00,27.1,33.9,25.1,22.1
0,Council of the City of Sydney,2025-01-01T18:00,26.9,33.3,23.9,22.2
0,Council of the City of Sydney,2025-01-01T19:00,26.2,32.6,24,22.8
0,Council of the City of Sydney,2025-01-01T20:00,26,32.2,23.6,23
0,Council of the City of Sydney,2025-01-01T21:00,26,32,22.8,23
0,Council of the City of Sydney,2025-01-01T22:00,26,31.2,19.9,23
0,Council of the City of Sydney,2025-01-01T23:00,27,31.5,16.3,22.1
0,Council of the City of Sydney,2025-01-02T00:00,28.3,30.5,7.5,21.1
0,Council of the City of Sydney,2025-01-02T01:00,30.3,30.8,1.7,19.7
0,Council of the City of Sydney,2025-01-02T02:00,30.1,30.3,0.5,19.8
0,Council of the City of Sydney,2025-01-02T03:00,31.5,30.9,0,18.9
0,Council of the City of Sydney,2025-01-02T04:00,33.7,33.3,0,17.7
0,Council of the City of Sydney,2025-01-02T05:00,35.1,35.9,2.2,17
0,Council of the City of Sydney,2025-01-02T06:00,33.4,36.9,10.2,17.9
0,Council of the City of Sydney,2025-01-02T07:00,32,36.8,15,18.7
0,Council of the City of Sydney,2025-01-02T08:00,30.1,36.1,20.1,19.9
0,Council of the City of Sydney,2025-01-02T09:00,28.9,35.9,24.3,20.7
0,Council of the City of Sydney,2025-01-02T10:00,27,35.1,29.6,22.1
0,Council of the City of Sydney,2025-01-02T11:00,25.7,34.8,35.6,23.3
0,Council of the City of Sydney,2025-01-02T12:00,24.9,34.3,37.5,24
0,Council of the City of Sydney,2025-01-02T13:00,24.9,34.2,37.2,24
0,Council of the City of Sydney,2025-01-02T14:00,25.2,34.2,35.7,23.7
0,Council of the City of Sydney,2025-01-02T15:00,25.3,34.3,35.7,23.7
0,Council of the City of Sydney,2025-01-02T16:00,25.5,34.3,34.4,23.4
0,Council of the City of Sydney,2025-01-02T17:00,25.4,33.9,33.2,23.5
0,Council of the City of Sydney,2025-01-02T18:00,25.4,32.8,29.4,23.6
0,Council of the City of Sydney,2025-01-02T19:00,24.7,31.7,28.2,24.2
0,Council of the City of Sydney,2025-01-02T20:00,25,31.2,24.9,23.9
0,Council of the City of Sydney,2025-01-02T21:00,25.8,31.6,22.1,23.1
0,Council of the City of Sydney,2025-01-02T22:00,26.9,31.8,18,22.2
0,Council of the City of Sydney,2025-01-02T23:00,27.7,31.5,13.6,21.6
0,Council of the City of Sydney,2025-01-03T00:00,27.8,30.1,8.2,21.5
0,Council of the City of Sydney,2025-01-03T01:00,28.8,30,4.1,20.8
0,Council of the City of Sydney,2025-01-03T02:00,29.6,29.9,1.2,20.2
0,Council of the City of Sydney,2025-01-03T03:00,31.5,31.6,0.4,19
0,Council of the City of Sydney,2025-01-03T04:00,34.2,33.9,0,17.5
0,Council of the City of Sydney,2025-01-03T05:00,34.9,36.1,3.6,17.1
0,Council of the City of Sydney,2025-01-03T06:00,33,37,12.1,18.1
0,Council of the City of Sydney,2025-01-03T07:00,30.1,36.3,20.5,19.8
0,Council of the City of Sydney,2025-01-03T08:00,28.9,36,24.5,20.7
0,Council of the City of Sydney,2025-01-03T09:00,25.8,35.5,37.2,23.1
0,Council of the City of Sydney,2025-01-03T10:00,24.7,34.6,40.1,24.2
0,Council of the City of Sydney,2025-01-03T11:00,25.6,34.8,35.8,23.3
0,Council of the City of Sydney,2025-01-03T12:00,24.8,34.4,38.3,24.1
0,Council of the City of Sydney,2025-01-03T13:00,24.9,34.2,37.3,24
0,Council of the City of Sydney,2025-01-03T14:00,25.1,34.2,36.2,23.8
0,Council of the City of Sydney,2025-01-03T15:00,25,34.3,37.2,23.9
0,Council of the City of Sydney,2025-01-03T16:00,25.3,34.2,35,23.6
0,Council of the City of Sydney,2025-01-03T17:00,24.9,33.7,35.6,24
0,Council of the City of Sydney,2025-01-03T18:00,23.4,33.1,41.5,25.6
0,Council of the City of Sydney,2025-01-03T19:00,23.5,31.8,35.4,25.4
0,Council of the City of Sydney,2025-01-03T20:00,24.3,31.5,29.8,24.6
0,Council of the City of Sydney,2025-01-03T21:00,24.5,31.7,29,24.4
0,Council of the City of Sydney,2025-01-03T22:00,25.6,31.6,23.6,23.4
0,Council of the City of Sydney,2025-01-03T23:00,26.4,31.1,17.5,22.6
0,Council of the City of Sydney,2025-01-04T00:00,26.5,30.6,15.4,22.5
0,Council of the City of Sydney,2025-01-04T01:00,27.8,30.1,8.2,21.5
0,Council of the City of Sydney,2025-01-04T02:00,29.4,30.6,4,20.3
0,Council of the City of Sydney,2025-01-04T03:00,30.6,31.1,1.5,19.5
0,Council of the City of Sydney,2025-01-04T04:00,32.6,33,1.1,18.3
0,Council of the City of Sydney,2025-01-04T05:00,35.1,35.7,1.7,17
0,Council of the City of Sydney,2025-01-04T06:00,33.9,36.8,8.4,17.6
0,Council of the City of Sydney,2025-01-04T07:00,31.4,36.3,15.4,19
0,Council of the City of Sydney,2025-01-04T08:00,30.4,36.4,19.4,19.6
0,Council of the City of Sydney,2025-01-04T09:00,27.1,36.1,32.9,22
0,Council of the City of Sydney,2025-01-04T10:00,25.1,35.2,40.3,23.8
0,Council of the City of Sydney,2025-01-04T11:00,25.9,35.2,35.5,23
0,Council of the City of Sydney,2025-01-04T12:00,25.6,34.8,35.6,23.3
0,Council of the City of Sydney,2025-01-04T13:00,26,34.6,33.3,23
0,Council of the City of Sydney,2025-01-04T14:00,25.8,34.3,32.9,23.1
0,Council of the City of Sydney,2025-01-04T15:00,25.4,34.3,34.7,23.5
0,Council of the City of Sydney,2025-01-04T16:00,25.8,34.3,32.7,23.2
0,Council of the City of Sydney,2025-01-04T17:00,25.1,34.1,36,23.8
0,Council of the City of Sydney,2025-01-04T18:00,23.1,33.5,45.2,25.9
0,Council of the City of Sydney,2025-01-04T19:00,23.9,32.2,34.7,25
0,Council of the City of Sydney,2025-01-04T20:00,24.4,31.7,29.6,24.4
0,Council of the City of Sydney,2025-01-04T21:00,24.7,31.8,28.4,24.2
0,Council of the City of Sydney,2025-01-04T22:00,25.5,31.8,24.5,23.4
